@relation 'Classification de documents par opinion'

@attribute texte string
@attribute valeur {1,-1}

@data
"movie stupidity farce plot priest agenda superpower conflict man light conscience prisoner priest gulag priest series voting process form miracle half country death hiccup path communism war order comrade bit coronation broker peace leader comrade year boy floor Chinese comrade madness something cause equality justice wealth church world holocaust movie stupidity way",-1
"title film degree authenticity end story song film hub story life clue accent intro movie blood text title clue story line info song control regime control record station leave time border staff use war club power time",-1
"movie waste cast ignoramus time review anybody script thing movie slapstick being tolerance",-1
"movie sense movie story",-1
"hour roadshow version film struggle fire level actor voice drama depth explanation effect action actor cast power part half tension passion film film purpose end praise work director fact time film camera plot fact thing gun film job work nod cut idea competency movie",-1
"slap face film film acting story film disappointment worst film film film writer outlook",-1
"comment atrocity cinema chapter series horror sequel time death ending film ground acting script number pile guano wonder movie shame",-1
"show guy show show age love appeal someone company wedding ring ball chain ring shame fit relationship marriage breath right marriage",-1
"film student film level jump plot structure acting share student reason film world assumption cast family",-1
"minute episode material stuff guy whole sequence dead anyone everyone",-1
"piece crap movie life waste time money budget storyline movie bargain bin fool i disgust storyline script production film something film",-1
"look family man part man acceptance role desensitization character loss innocence life crime saga transformation history family remorse cliche character disciple daughter casualty mob death life thing reason position family brother saga tale man journey darkness end thing family loyalty picture man victim circumstance meaning mess film solution problem installment saga act member family",-1
"this story animation film course week audience scene favourite medicine character line destiny time meaning apple lesson",-1
"book movie book screen write storyline title character plot time line investigator story persona cop sink body blackmail blackmail son son mother son story lover secretary beginning while college apartment love cash point west time blackmail test paper character character cancer lover billy father draft dodger war care drug withdrawal affair right nose care government ferry split personality name piece balcony fountain grade heroin blood time childhood anything reader book someone vision story movie",-1
"thriller college student victim car accident life boyfriend nothing importance sort entertainment value cast film horror film joke sense suspense project light vision talent conclusion movie killer cut",-1
"film movie lot credit none story actress character version child actor cinema rest heck",-1
"verdict film bulk Philistine movie police academy share brow stuff nonsense start movie calibre none average performance wife self hater career performance plot snail pace life someone something none life length character detail degree soliloquy route soundtrack quality music episode nanny goat bit",-1
"TV movie bar midget limbo movie film scene rote someone dozen tv business script work cliche plot favor watch mood paranoia anyone",-1
"reason movie basketball movie outfits everything year son screen tooth terribleness story hole quicksand tar pit",-1
"star top star chain work movie car chase property derision family adventure flick chance blouse aspect film story humdrum worker job boy race world demon actor film role kind film fact film load garbage",-1
"animation year sleep plot child money",-1
"moron script film light person head brain activity money script address money film way way premise logic movie offensive start direction film waste time review film brevity talking denominator film heart list time",-1
"dramas point script direction armature thing feel design suspense story continuity door acting production feel university anyone",-1
"movie movie series bond cross horror comedy goodness year niece attempt horror spit face point horror film",-1
